,0,studio
"('HomeRange', 10)",Keith Baxter,Disney
"('HomeRange', 11)",Mike Kunkel,Disney
"('HomeRange', 12)",Jason Lethcoe,Disney
"('HomeRange', 13)",Donnie Long,Disney
"('HomeRange', 14)",Michael Lucker,Disney
"('HomeRange', 18)",David Moses Pimentel,Disney
"('HomeRange', 20)",Davy Liu,Disney
"('HomeRange', 23)",David J. Steinberg,Disney
"('ChikLittle', 5)",Ron Anderson,Disney
"('ChikLittle', 6)",Robert L. Baird,Disney
"('ChikLittle', 7)",Daniel Gerson,Disney
"('ChikLittle', 8)",Sara Parriott,Disney
"('ChikLittle', 9)",Josann McGibbon,Disney
"('ChikLittle', 11)",Sandra Tsing Loh,Disney
"('Robinsons', 1)",Jon Bernstein,Disney
"('Robinsons', 2)",Michelle Bochner Spitz,Disney
"('Robinsons', 4)",Nathan Greno,Disney
"('Robinsons', 6)",Joseph Mateo,Disney
"('Robinsons', 8)",William Joyce,Disney
"('Robinsons', 9)",Diego Garzon,Disney
"('Robinsons', 10)",Bill Borden,Disney
"('Robinsons', 12)",Monica Lago-Kaytis,Disney
"('Robinsons', 14)",Dorothy McKim,Disney
"('Robinsons', 17)",Makul Wigert,Disney
"('Bolt', 0)",Byron Howard,Disney
"('Bolt', 2)",Dan Fogelman,Disney
"('PrincessFrog', 4)",Greg Erb,Disney
"('PrincessFrog', 5)",Jason Oremland,Disney
"('PrincessFrog', 9)",E.D. Baker,Disney
"('PrincessFrog', 11)",Aghi D. Koh,Disney
"('PrincessFrog', 13)",Craig Sost,Disney
"('Tangled', 8)",Aimee Scribner,Disney
"('Pooh3D', 3)",Clio Chiang,Disney
"('Pooh3D', 6)",Kendelle Hoyer,Disney
"('Pooh3D', 7)",Brian Kesinger,Disney
"('Pooh3D', 8)",Nicole Mitchell,Disney
"('Pooh3D', 9)",Jeremy Spears,Disney
"('Pooh3D', 11)",Ernest Shepard,Disney
"('Pooh3D', 12)",Kathleen M. Courtney,Disney
"('Pooh3D', 14)",Peter Denomme,Disney
"('WreckRalph', 0)",Rich Moore,Disney
"('WreckRalph', 2)",Phil Johnston,Disney
"('WreckRalph', 3)",Jim Reardon,Disney
"('WreckRalph', 5)",Jennifer Lee,Disney
"('WreckRalph', 6)",John C. Reilly,Disney
"('WreckRalph', 8)",Jared Stern,Disney
"('Frozen', 6)",Shane Morris,Disney
"('BigHero6', 2)",Jordan Roberts,Disney
"('BigHero6', 5)",Man of Action,Disney
"('BigHero6', 6)",Steven T. Seagle,Disney
"('BigHero6', 7)",Duncan Rouleau,Disney
"('BigHero6', 10)",Kristina Reed,Disney
"('BigHero6', 11)",Brad Simonsen,Disney
"('Zootopia', 2)",Jared Bush,Disney
"('Zootopia', 7)",Josie Trinidad,Disney
"('Zootopia', 12)",Kellie D. Lewis,Disney
"('Moana', 9)",Pamela Ribon,Disney
"('Moana', 10)",Aaron Kandell,Disney
"('Moana', 11)",Jordan Kandell,Disney
"('Moana', 12)",Nicole P. Hearon,Disney
"('Moana', 14)",Osnat Shurer,Disney
"('RalphNet', 10)",Kelly Younger,Disney
"('RalphNet', 11)",Jason Hand,Disney
